,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
30,2/13/2021,17:00,Ligue 1,Matchweek 25,Sat,Away,L,1,2,Paris S-G,1,2.6,45,,Pierre Lees-Melou,4-1-4-1,Jérémie Pignard,Match Report,,13,5,17.8,0,0,0,2021,Nice
31,2/17/2021,21:00,Ligue 1,Matchweek 11,Wed,Away,L,2,3,Marseille,1.3,0.7,55,,Pierre Lees-Melou,4-1-4-1,Mikael Lesage,Match Report,,10,4,16.6,1,0,0,2021,Nice
32,2/21/2021,15:00,Ligue 1,Matchweek 26,Sun,Home,L,1,2,Metz,1.2,1.2,65,,Pierre Lees-Melou,3/3/2004,Jeremy Stinat,Match Report,,11,2,22.4,1,1,1,2021,Nice
33,2/26/2021,21:00,Ligue 1,Matchweek 27,Fri,Away,W,2,1,Rennes,1.9,0.9,39,,Morgan Schneiderlin,4/2/2004,Johan Hamel,Match Report,,13,6,19.7,0,1,1,2021,Nice
34,3/3/2021,19:00,Ligue 1,Matchweek 28,Wed,Home,W,2,1,Nîmes,1.4,2.4,54,,Morgan Schneiderlin,4-1-4-1,Hakim Ben El Hadj Salem,Match Report,,10,4,15.4,0,0,0,2021,Nice
36,3/14/2021,15:00,Ligue 1,Matchweek 29,Sun,Away,D,1,1,Lorient,0.5,2.2,51,,Pierre Lees-Melou,4-2-3-1,Ruddy Buquet,Match Report,,6,2,22.2,0,0,0,2021,Nice
37,3/20/2021,17:00,Ligue 1,Matchweek 30,Sat,Home,W,3,0,Marseille,2.4,0.4,43,,Morgan Schneiderlin,3/3/2004,François Letexier,Match Report,,17,7,16.2,0,0,0,2021,Nice
38,4/4/2021,15:00,Ligue 1,Matchweek 31,Sun,Away,W,2,1,Nantes,2.5,1.5,50,,Pierre Lees-Melou,3/3/2004,Stéphanie Frappart,Match Report,,16,7,19.2,0,1,1,2021,Nice
39,4/11/2021,15:00,Ligue 1,Matchweek 32,Sun,Home,D,0,0,Reims,0.6,0.5,54,,Morgan Schneiderlin,3/3/2004,Jeremy Stinat,Match Report,,13,2,20.2,1,0,0,2021,Nice
40,4/18/2021,15:00,Ligue 1,Matchweek 33,Sun,Away,L,0,2,Dijon,0.7,1.6,57,,Pierre Lees-Melou,3/3/2004,Johan Hamel,Match Report,,10,2,14.1,0,0,0,2021,Nice
41,4/25/2021,13:00,Ligue 1,Matchweek 34,Sun,Home,W,3,1,Montpellier,2,1.4,58,,Morgan Schneiderlin,4-1-4-1,Bastien Dechepy,Match Report,,18,8,16.8,0,0,0,2021,Nice
42,5/1/2021,21:00,Ligue 1,Matchweek 35,Sat,Away,L,0,2,Lille,0,0.8,45,,Morgan Schneiderlin,4-1-4-1,Amaury Delerue,Match Report,,0,0,,0,0,0,2021,Nice
43,5/9/2021,15:00,Ligue 1,Matchweek 36,Sun,Home,W,3,2,Brest,2.9,0.9,63,,Pierre Lees-Melou,4-1-4-1,Thomas Léonard,Match Report,,14,5,11.2,1,0,0,2021,Nice
44,5/16/2021,21:00,Ligue 1,Matchweek 37,Sun,Home,L,0,2,Strasbourg,0.9,1.9,72,,Morgan Schneiderlin,4-1-4-1,Mikael Lesage,Match Report,,7,3,17.1,1,0,0,2021,Nice
45,5/23/2021,21:00,Ligue 1,Matchweek 38,Sun,Away,W,3,2,Lyon,1.6,1.4,45,,Pierre Lees-Melou,4-1-4-1,Benoît Millot,Match Report,,14,6,16.5,1,0,0,2021,Nice
0,8/30/2020,15:00,Ligue 1,Matchweek 2,Sun,Home,L,0,1,Monaco,0.7,0.2,54,4463,John Boye,3/3/2004,Jeremy Stinat,Match Report,,14,4,21.6,3,0,0,2021,Metz
1,9/13/2020,13:00,Ligue 1,Matchweek 3,Sun,Away,L,0,1,Lille,0.8,1.5,39,,John Boye,4/1/2005,Jérémie Pignard,Match Report,,5,1,8,0,0,0,2021,Metz
2,9/16/2020,21:00,Ligue 1,Matchweek 1,Wed,Away,L,0,1,Paris S-G,0.9,2.2,29,,John Boye,3-4-1-2,Mikael Lesage,Match Report,,7,1,17.9,0,0,0,2021,Metz
3,9/20/2020,15:00,Ligue 1,Matchweek 4,Sun,Home,W,2,1,Reims,1.7,1.2,59,,John Boye,3/3/2004,Johan Hamel,Match Report,,14,4,20.2,1,0,0,2021,Metz
4,9/26/2020,21:00,Ligue 1,Matchweek 5,Sat,Away,D,1,1,Marseille,1.1,0.9,40,,John Boye,4/2/2004,Eric Wattellier,Match Report,,14,3,19.3,1,0,0,2021,Metz
5,10/4/2020,15:00,Ligue 1,Matchweek 6,Sun,Home,W,3,1,Lorient,1.6,0.7,58,,John Boye,4-2-3-1,Jérôme Miguelgorry,Match Report,,15,7,20.8,1,1,1,2021,Metz
6,10/18/2020,15:00,Ligue 1,Matchweek 7,Sun,Away,D,1,1,Angers,1.1,1.1,53,,John Boye,4-2-3-1,Aurélien Petit,Match Report,,7,3,20,2,0,0,2021,Metz
7,10/25/2020,15:00,Ligue 1,Matchweek 8,Sun,Home,W,2,0,Saint-Étienne,0.4,0.5,43,5000,John Boye,3/3/2004,Karim Abed,Match Report,,6,3,23.4,2,0,0,2021,Metz
8,11/1/2020,15:00,Ligue 1,Matchweek 9,Sun,Away,W,1,0,Nîmes,0.8,0.9,33,,Dylan Bronn,4-2-3-1,Amaury Delerue,Match Report,,8,5,20,2,0,0,2021,Metz
9,11/8/2020,15:00,Ligue 1,Matchweek 10,Sun,Home,D,1,1,Dijon,2.2,2,45,,John Boye,4-2-3-1,Willy Delajod,Match Report,,14,3,19.9,2,0,1,2021,Metz
10,11/22/2020,13:00,Ligue 1,Matchweek 11,Sun,Away,D,1,1,Nantes,1.3,1.3,34,,John Boye,3/3/2004,Benoît Millot,Match Report,,10,3,19.9,0,1,1,2021,Metz
11,11/29/2020,15:00,Ligue 1,Matchweek 12,Sun,Home,L,0,2,Brest,0.9,1.5,46,,John Boye,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,15,6,20.6,2,0,0,2021,Metz
12,12/6/2020,21:00,Ligue 1,Matchweek 13,Sun,Home,L,1,3,Lyon,1.5,1.6,46,,John Boye,3/3/2004,Karim Abed,Match Report,,11,4,22.4,1,0,1,2021,Metz
13,12/13/2020,15:00,Ligue 1,Matchweek 14,Sun,Away,D,2,2,Strasbourg,1.7,1.1,43,,Dylan Bronn,3-1-4-2,François Letexier,Match Report,,4,1,26.2,0,1,2,2021,Metz
14,12/16/2020,19:00,Ligue 1,Matchweek 15,Wed,Away,W,2,0,Montpellier,1.7,1.1,41,,John Boye,3/2/2005,Jérémie Pignard,Match Report,,8,4,21.4,0,1,1,2021,Metz
15,12/19/2020,17:00,Ligue 1,Matchweek 16,Sat,Home,W,2,0,Lens,1,1.2,39,,John Boye,3-4-1-2,Amaury Delerue,Match Report,,12,4,16.7,0,0,0,2021,Metz
16,12/23/2020,19:00,Ligue 1,Matchweek 17,Wed,Away,L,0,1,Rennes,1.4,0.9,38,,John Boye,4-4-1-1,Florent Batta,Match Report,,9,4,17.4,0,0,0,2021,Metz
17,1/6/2021,19:00,Ligue 1,Matchweek 18,Wed,Home,D,0,0,Bordeaux,0.9,1.2,43,,John Boye,4/1/2005,Antony Gautier,Match Report,,9,3,15.8,0,0,0,2021,Metz
18,1/9/2021,21:00,Ligue 1,Matchweek 19,Sat,Home,D,1,1,Nice,1.2,1.3,44,,John Boye,4/1/2005,Johan Hamel,Match Report,,16,5,22.5,0,0,0,2021,Metz
19,1/17/2021,21:00,Ligue 1,Matchweek 20,Sun,Away,W,1,0,Lyon,1.9,1.5,36,,John Boye,3-4-1-2,Stéphanie Frappart,Match Report,,18,3,20,0,0,0,2021,Metz
20,1/24/2021,15:00,Ligue 1,Matchweek 21,Sun,Home,W,2,0,Nantes,1,0.4,43,,John Boye,3-4-1-2,Jérôme Miguelgorry,Match Report,,14,4,24.9,1,0,0,2021,Metz
21,1/31/2021,15:00,Ligue 1,Matchweek 22,Sun,Away,W,4,2,Brest,1.6,1.3,38,,John Boye,3-4-1-2,Benoît Millot,Match Report,,14,5,24.5,1,1,1,2021,Metz
22,2/3/2021,19:00,Ligue 1,Matchweek 23,Wed,Home,D,1,1,Montpellier,0.9,1.1,45,,John Boye,3-4-1-2,Bastien Dechepy,Match Report,,17,6,20.3,0,0,0,2021,Metz
23,2/7/2021,15:00,Ligue 1,Matchweek 24,Sun,Away,L,0,1,Saint-Étienne,0.4,0.7,51,,John Boye,3-4-1-2,Ruddy Buquet,Match Report,,10,0,24,0,0,0,2021,Metz
25,2/14/2021,15:00,Ligue 1,Matchweek 25,Sun,Home,L,1,2,Strasbourg,1.7,1.5,45,,John Boye,4/3/2003,Mikael Lesage,Match Report,,14,2,18.1,1,0,0,2021,Metz
26,2/21/2021,15:00,Ligue 1,Matchweek 26,Sun,Away,W,2,1,Nice,1.2,1.2,35,,John Boye,4/3/2003,Jeremy Stinat,Match Report,,11,4,17.7,1,0,0,2021,Metz
27,2/27/2021,13:00,Ligue 1,Matchweek 27,Sat,Away,W,2,1,Bordeaux,2,0.9,49,,John Boye,3-4-1-2,Aurélien Petit,Match Report,,15,5,13.1,0,0,0,2021,Metz
28,3/3/2021,19:00,Ligue 1,Matchweek 28,Wed,Home,L,0,1,Angers,0.8,1.1,65,,John Boye,3-4-1-2,Johan Hamel,Match Report,,15,2,20.6,2,0,0,2021,Metz
30,3/14/2021,15:00,Ligue 1,Matchweek 29,Sun,Away,D,2,2,Lens,1.5,2.2,47,,John Boye,3-1-4-2,Florent Batta,Match Report,,6,3,20,0,1,1,2021,Metz
31,3/20/2021,13:00,Ligue 1,Matchweek 30,Sat,Home,L,1,3,Rennes,0.7,2,52,,John Boye,3-4-1-2,Willy Delajod,Match Report,,14,2,20,0,0,0,2021,Metz
32,4/3/2021,13:00,Ligue 1,Matchweek 31,Sat,Away,L,0,4,Monaco,0.3,2.4,39,,John Boye,3-4-1-2,Johan Hamel,Match Report,,6,1,21,1,0,0,2021,Metz
34,4/9/2021,21:00,Ligue 1,Matchweek 32,Fri,Home,L,0,2,Lille,2.1,0.6,50,,John Boye,4/3/2003,Clément Turpin,Match Report,,17,6,22,1,0,1,2021,Metz
35,4/18/2021,15:00,Ligue 1,Matchweek 33,Sun,Away,D,0,0,Reims,0.7,0.9,52,,John Boye,4/3/2003,Jérôme Miguelgorry,Match Report,,11,2,23,2,0,0,2021,Metz
36,4/24/2021,17:00,Ligue 1,Matchweek 34,Sat,Home,L,1,3,Paris S-G,0.7,2.9,34,,John Boye,3-5-1-1,Willy Delajod,Match Report,,8,3,18.5,0,0,0,2021,Metz
37,5/2/2021,15:00,Ligue 1,Matchweek 35,Sun,Away,W,5,1,Dijon,1.5,1.1,55,,John Boye,3/3/2004,Franck Schneider,Match Report,,14,6,19.4,1,0,0,2021,Metz
38,5/9/2021,15:00,Ligue 1,Matchweek 36,Sun,Home,L,0,3,Nîmes,0.7,1.9,58,,John Boye,3/3/2004,François Letexier,Match Report,,11,2,21.6,0,0,0,2021,Metz
39,5/16/2021,21:00,Ligue 1,Matchweek 37,Sun,Away,L,1,2,Lorient,0.1,1.4,62,,Dylan Bronn,3/2/2005,Florent Batta,Match Report,,3,1,38.9,2,0,0,2021,Metz
40,5/23/2021,21:00,Ligue 1,Matchweek 38,Sun,Home,D,1,1,Marseille,1.1,1.3,36,,John Boye,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,9,2,31.5,1,1,1,2021,Metz
0,8/30/2020,15:00,Ligue 1,Matchweek 2,Sun,Home,W,2,0,Lorient,1.4,0.3,53,,Mathieu Debuchy,4-2-3-1,Florent Batta,Match Report,,13,5,17.7,1,0,0,2021,Saint Etienne
1,9/12/2020,21:00,Ligue 1,Matchweek 3,Sat,Home,W,2,0,Strasbourg,2,1.4,49,,Mathieu Debuchy,4-2-3-1,Eric Wattellier,Match Report,,8,3,17.5,2,1,1,2021,Saint Etienne
2,9/17/2020,21:00,Ligue 1,Matchweek 1,Thu,Away,W,2,0,Marseille,1.3,2.2,41,,Mathieu Debuchy,4/2/2004,Ruddy Buquet,Match Report,,12,5,15.5,1,0,0,2021,Saint Etienne
3,9/20/2020,17:00,Ligue 1,Matchweek 4,Sun,Away,D,2,2,Nantes,1,1.4,43,,Jessy Moulin,3/3/2004,Antony Gautier,Match Report,,6,3,20.7,0,0,0,2021,Saint Etienne
4,9/26/2020,17:00,Ligue 1,Matchweek 5,Sat,Home,L,0,3,Rennes,0.3,1,49,,Jessy Moulin,4/2/2004,Benoît Bastien,Match Report,,6,4,18,0,0,0,2021,Saint Etienne
5,10/3/2020,17:00,Ligue 1,Matchweek 6,Sat,Away,L,0,2,Lens,0.1,2.1,34,,Jessy Moulin,4-1-4-1,Bastien Dechepy,Match Report,,2,1,16,0,0,0,2021,Saint Etienne
6,10/18/2020,17:00,Ligue 1,Matchweek 7,Sun,Home,L,1,3,Nice,0.8,2.3,46,,Romain Hamouma,3-4-1-2,Amaury Delerue,Match Report,,11,4,19.4,1,0,0,2021,Saint Etienne
7,10/25/2020,15:00,Ligue 1,Matchweek 8,Sun,Away,L,0,2,Metz,0.5,0.4,57,5000,Romain Hamouma,4-2-3-1,Karim Abed,Match Report,,10,0,22.3,1,0,0,2021,Saint Etienne
8,11/1/2020,13:00,Ligue 1,Matchweek 9,Sun,Home,L,0,1,Montpellier,0.7,0.7,54,,Romain Hamouma,3/3/2004,Jérôme Miguelgorry,Match Report,,8,0,18.5,0,0,0,2021,Saint Etienne
9,11/8/2020,21:00,Ligue 1,Matchweek 10,Sun,Away,L,1,2,Lyon,1.9,2.8,40,,Jessy Moulin,4/2/2004,François Letexier,Match Report,,14,4,19.3,1,0,1,2021,Saint Etienne
10,11/21/2020,17:00,Ligue 1,Matchweek 11,Sat,Away,L,1,4,Brest,1.3,0.8,59,,Jessy Moulin,4/2/2004,Thomas Léonard,Match Report,,17,1,18.8,0,0,0,2021,Saint Etienne
11,11/29/2020,21:00,Ligue 1,Matchweek 12,Sun,Home,D,1,1,Lille,1,0.5,38,,Mathieu Debuchy,4/2/2004,Benoît Bastien,Match Report,,6,4,27.5,0,1,1,2021,Saint Etienne
12,12/6/2020,15:00,Ligue 1,Matchweek 13,Sun,Away,D,0,0,Dijon,0.7,0.5,59,,Jessy Moulin,4/2/2004,Ruddy Buquet,Match Report,,7,2,18.7,0,0,0,2021,Saint Etienne
13,12/11/2020,21:00,Ligue 1,Matchweek 14,Fri,Home,D,0,0,Angers,1.3,0.7,62,,Mathieu Debuchy,4-2-3-1,Jérôme Miguelgorry,Match Report,,14,3,17,0,0,0,2021,Saint Etienne
14,12/16/2020,21:00,Ligue 1,Matchweek 15,Wed,Away,W,2,1,Bordeaux,2.3,0.7,48,,Mathieu Debuchy,4-2-3-1,Stéphanie Frappart,Match Report,,19,8,23.4,2,0,0,2021,Saint Etienne
15,12/20/2020,15:00,Ligue 1,Matchweek 16,Sun,Home,D,2,2,Nîmes,2.9,1.6,59,,Mathieu Debuchy,4-2-3-1,Mikael Lesage,Match Report,,17,8,19.8,0,0,1,2021,Saint Etienne
16,12/23/2020,21:00,Ligue 1,Matchweek 17,Wed,Away,D,2,2,Monaco,1.7,0.8,60,,Mathieu Debuchy,4-2-3-1,Johan Hamel,Match Report,,17,5,18.8,0,1,1,2021,Saint Etienne
17,1/6/2021,21:00,Ligue 1,Matchweek 18,Wed,Home,D,1,1,Paris S-G,1.2,1.6,32,,Mathieu Debuchy,4/2/2004,Karim Abed,Match Report,,11,5,13.4,0,0,0,2021,Saint Etienne
18,1/9/2021,21:00,Ligue 1,Matchweek 19,Sat,Away,L,1,3,Reims,1.5,1.6,64,,Mathieu Debuchy,4/2/2004,Florent Batta,Match Report,,14,6,15.2,0,0,0,2021,Saint Etienne
19,1/17/2021,15:00,Ligue 1,Matchweek 20,Sun,Away,L,0,1,Strasbourg,1.5,2.2,58,,Jessy Moulin,4-1-2-1-2◆,Antony Gautier,Match Report,,7,3,14.9,0,0,1,2021,Saint Etienne
20,1/24/2021,21:00,Ligue 1,Matchweek 21,Sun,Home,L,0,5,Lyon,0.2,2.1,40,,Jessy Moulin,4-1-2-1-2◆,Benoît Bastien,Match Report,,3,0,16.1,0,0,0,2021,Saint Etienne
21,1/31/2021,13:00,Ligue 1,Matchweek 22,Sun,Away,W,1,0,Nice,1.4,0.5,54,,Mathieu Debuchy,4-2-3-1,Franck Schneider,Match Report,,10,1,15.4,0,0,0,2021,Saint Etienne
22,2/3/2021,21:00,Ligue 1,Matchweek 23,Wed,Home,D,1,1,Nantes,1.5,1.5,50,,Mathieu Debuchy,4/2/2004,Eric Wattellier,Match Report,,14,7,14.7,0,0,0,2021,Saint Etienne
23,2/7/2021,15:00,Ligue 1,Matchweek 24,Sun,Home,W,1,0,Metz,0.7,0.4,49,,Jessy Moulin,4/3/2003,Ruddy Buquet,Match Report,,12,3,20.4,1,0,0,2021,Saint Etienne
25,2/14/2021,15:00,Ligue 1,Matchweek 25,Sun,Away,W,2,0,Rennes,0.3,1.6,29,,Mathieu Debuchy,5/1/2004,Florent Batta,Match Report,,6,3,23.1,0,0,0,2021,Saint Etienne
26,2/20/2021,13:00,Ligue 1,Matchweek 26,Sat,Home,D,1,1,Reims,2,0.4,49,,Mathieu Debuchy,4-1-4-1,Antony Gautier,Match Report,,19,7,19.5,1,0,0,2021,Saint Etienne
27,2/28/2021,15:00,Ligue 1,Matchweek 27,Sun,Away,L,1,2,Lorient,1.1,1,44,,Mathieu Debuchy,4-1-4-1,Stéphanie Frappart,Match Report,,9,2,16.7,0,0,0,2021,Saint Etienne
28,3/3/2021,19:00,Ligue 1,Matchweek 28,Wed,Home,L,2,3,Lens,2.2,1.9,65,,Mathieu Debuchy,4-1-4-1,Amaury Delerue,Match Report,,17,2,17.8,0,1,1,2021,Saint Etienne
29,3/13/2021,13:00,Ligue 1,Matchweek 29,Sat,Away,W,1,0,Angers,0.8,0.2,46,,Mahdi Camara,3-4-1-2,Benoît Millot,Match Report,,7,3,14.3,0,0,0,2021,Saint Etienne
30,3/19/2021,21:00,Ligue 1,Matchweek 30,Fri,Home,L,0,4,Monaco,0.5,2.3,41,,Mathieu Debuchy,3-4-1-2,Mikael Lesage,Match Report,,9,3,18.5,2,0,0,2021,Saint Etienne
31,4/4/2021,17:05,Ligue 1,Matchweek 31,Sun,Away,W,2,0,Nîmes,1.7,1.7,47,,Mathieu Debuchy,4-1-4-1,Thomas Léonard,Match Report,,15,5,16.1,0,0,0,2021,Saint Etienne
32,4/11/2021,15:00,Ligue 1,Matchweek 32,Sun,Home,W,4,1,Bordeaux,3.3,2,37,,Mathieu Debuchy,4-1-4-1,Franck Schneider,Match Report,,15,4,19.1,2,2,2,2021,Saint Etienne
33,4/18/2021,13:00,Ligue 1,Matchweek 33,Sun,Away,L,2,3,Paris S-G,1.2,2.2,29,,Mathieu Debuchy,4/2/2004,Ruddy Buquet,Match Report,,7,5,14.8,0,0,0,2021,Saint Etienne
34,4/24/2021,13:00,Ligue 1,Matchweek 34,Sat,Home,L,1,2,Brest,0.9,1.9,44,,Mathieu Debuchy,3/3/2004,Florent Batta,Match Report,,6,3,13.4,0,0,0,2021,Saint Etienne
35,5/2/2021,17:05,Ligue 1,Matchweek 35,Sun,Away,W,2,1,Montpellier,2.6,1,55,,Mathieu Debuchy,4/2/2004,Karim Abed,Match Report,,19,7,17,1,0,0,2021,Saint Etienne
36,5/9/2021,13:00,Ligue 1,Matchweek 36,Sun,Home,W,1,0,Marseille,1.4,1.6,45,,Mathieu Debuchy,4/2/2004,Johan Hamel,Match Report,,18,5,18.7,1,0,0,2021,Saint Etienne
37,5/16/2021,21:00,Ligue 1,Matchweek 37,Sun,Away,D,0,0,Lille,0.4,1,41,,Mathieu Debuchy,4/2/2004,Jérôme Brisard,Match Report,,8,1,19.3,0,0,0,2021,Saint Etienne
38,5/23/2021,21:00,Ligue 1,Matchweek 38,Sun,Home,L,0,1,Dijon,1.4,1.3,65,,Mahdi Camara,4/2/2004,Antony Gautier,Match Report,,19,5,18.7,0,0,0,2021,Saint Etienne
0,8/21/2020,19:00,Ligue 1,Matchweek 1,Fri,Home,D,0,0,Nantes,0.5,0.2,44,,Laurent Koscielny,3/3/2004,Benoît Bastien,Match Report,,5,1,29.2,0,0,0,2021,Bordeaux
1,8/30/2020,15:00,Ligue 1,Matchweek 2,Sun,Away,W,2,0,Angers,2,0.8,43,,Laurent Koscielny,4-2-3-1,Karim Abed,Match Report,,7,7,11.9,0,0,0,2021,Bordeaux
2,9/11/2020,21:00,Ligue 1,Matchweek 3,Fri,Home,D,0,0,Lyon,0.3,2,46,,Laurent Koscielny,4-2-3-1,Ruddy Buquet,Match Report,,5,0,24.2,1,0,0,2021,Bordeaux
3,9/19/2020,17:00,Ligue 1,Matchweek 4,Sat,Away,L,1,2,Lens,0.4,3.1,41,,Laurent Koscielny,4-2-3-1,Benoît Millot,Match Report,,7,3,18.1,1,0,0,2021,Bordeaux
4,9/27/2020,13:00,Ligue 1,Matchweek 5,Sun,Home,D,0,0,Nice,1.2,0.8,46,,Laurent Koscielny,4-2-3-1,François Letexier,Match Report,,18,5,16.6,0,0,0,2021,Bordeaux
5,10/4/2020,15:00,Ligue 1,Matchweek 6,Sun,Home,W,3,0,Dijon,1.6,0.3,50,,Laurent Koscielny,4-2-3-1,Antony Gautier,Match Report,,17,7,17.6,2,0,0,2021,Bordeaux
6,10/17/2020,21:00,Ligue 1,Matchweek 7,Sat,Away,L,1,3,Marseille,0.8,1,44,,Benoît Costil,4-2-3-1,Franck Schneider,Match Report,,8,4,15.4,1,0,0,2021,Bordeaux
7,10/25/2020,15:00,Ligue 1,Matchweek 8,Sun,Home,W,2,0,Nîmes,2.1,0.7,59,,Benoît Costil,4-2-3-1,Bastien Dechepy,Match Report,,19,5,17.6,1,1,1,2021,Bordeaux
8,11/1/2020,17:00,Ligue 1,Matchweek 9,Sun,Away,L,0,4,Monaco,0.3,3.5,48,,Laurent Koscielny,4-1-4-1,Ruddy Buquet,Match Report,,5,0,17.1,0,0,0,2021,Bordeaux
9,11/7/2020,17:00,Ligue 1,Matchweek 10,Sat,Home,L,0,2,Montpellier,0.6,1.3,52,,Laurent Koscielny,4-2-3-1,Antony Gautier,Match Report,,9,1,19.9,2,0,0,2021,Bordeaux
10,11/20/2020,19:00,Ligue 1,Matchweek 11,Fri,Away,W,1,0,Rennes,0.7,1.9,41,,Laurent Koscielny,4-2-3-1,Karim Abed,Match Report,,6,3,15.8,0,0,0,2021,Bordeaux
11,11/28/2020,21:00,Ligue 1,Matchweek 12,Sat,Away,D,2,2,Paris S-G,1.3,2.2,35,,Laurent Koscielny,4/2/2004,Jérémie Pignard,Match Report,,18,4,19.8,0,0,0,2021,Bordeaux
12,12/6/2020,15:00,Ligue 1,Matchweek 13,Sun,Home,W,1,0,Brest,2.1,0.3,58,,Benoît Costil,4/2/2004,Franck Schneider,Match Report,,21,6,16.2,0,0,0,2021,Bordeaux
13,12/13/2020,17:00,Ligue 1,Matchweek 14,Sun,Away,L,1,2,Lille,0.7,1.1,44,,Benoît Costil,4/2/2004,Eric Wattellier,Match Report,,4,3,16.9,1,0,0,2021,Bordeaux
14,12/16/2020,21:00,Ligue 1,Matchweek 15,Wed,Home,L,1,2,Saint-Étienne,0.7,2.3,52,,Benoît Costil,4/2/2004,Stéphanie Frappart,Match Report,,11,3,17.4,0,0,0,2021,Bordeaux
15,12/20/2020,15:00,Ligue 1,Matchweek 16,Sun,Away,W,2,0,Strasbourg,1,1,46,,Benoît Costil,4-2-3-1,Benoît Bastien,Match Report,,11,6,16.1,0,0,0,2021,Bordeaux
16,12/23/2020,19:00,Ligue 1,Matchweek 17,Wed,Home,L,1,3,Reims,1.1,1,62,,Benoît Costil,4-2-3-1,Jérôme Brisard,Match Report,,9,3,17.7,1,0,0,2021,Bordeaux
17,1/6/2021,19:00,Ligue 1,Matchweek 18,Wed,Away,D,0,0,Metz,1.2,0.9,57,,Benoît Costil,4-2-3-1,Antony Gautier,Match Report,,12,3,18.3,1,0,0,2021,Bordeaux
18,1/9/2021,21:00,Ligue 1,Matchweek 19,Sat,Home,W,2,1,Lorient,1.3,1.2,49,,Laurent Koscielny,4-2-3-1,Willy Delajod,Match Report,,16,6,15.7,0,0,0,2021,Bordeaux
19,1/17/2021,15:00,Ligue 1,Matchweek 20,Sun,Away,W,3,0,Nice,2.5,0.9,50,,Laurent Koscielny,4-1-4-1,Thomas Léonard,Match Report,,17,9,15.6,0,0,0,2021,Bordeaux
20,1/24/2021,13:00,Ligue 1,Matchweek 21,Sun,Home,W,2,1,Angers,1.3,1.8,46,,Laurent Koscielny,4-2-3-1,Florent Batta,Match Report,,7,3,15.7,0,0,0,2021,Bordeaux
21,1/29/2021,21:00,Ligue 1,Matchweek 22,Fri,Away,L,1,2,Lyon,1,1,44,,Laurent Koscielny,4-2-3-1,Clément Turpin,Match Report,,12,2,20,0,0,0,2021,Bordeaux
22,2/3/2021,19:00,Ligue 1,Matchweek 23,Wed,Home,L,0,3,Lille,1.1,1.7,54,,Laurent Koscielny,4-2-3-1,Mikael Lesage,Match Report,,10,4,16.4,0,0,0,2021,Bordeaux
23,2/7/2021,13:00,Ligue 1,Matchweek 24,Sun,Away,L,1,2,Brest,0.8,1.9,53,,Laurent Koscielny,4/3/2003,Eric Wattellier,Match Report,,8,4,19.9,0,0,0,2021,Bordeaux
25,2/14/2021,21:00,Ligue 1,Matchweek 25,Sun,Home,D,0,0,Marseille,1.4,0.5,55,,Laurent Koscielny,3/3/2004,Jérôme Brisard,Match Report,,19,1,16.6,1,0,0,2021,Bordeaux
26,2/21/2021,15:00,Ligue 1,Matchweek 26,Sun,Away,L,0,2,Nîmes,0.8,0.4,71,,Laurent Koscielny,4-2-3-1,Willy Delajod,Match Report,,11,4,19.7,2,0,0,2021,Bordeaux
27,2/27/2021,13:00,Ligue 1,Matchweek 27,Sat,Home,L,1,2,Metz,0.9,2,51,,Laurent Koscielny,5/2/2003,Aurélien Petit,Match Report,,8,1,16.4,0,0,0,2021,Bordeaux
28,3/3/2021,21:00,Ligue 1,Matchweek 28,Wed,Home,L,0,1,Paris S-G,0.6,1,44,,Laurent Koscielny,4/3/2003,Franck Schneider,Match Report,,11,2,16.6,0,0,0,2021,Bordeaux
29,3/14/2021,15:00,Ligue 1,Matchweek 29,Sun,Away,W,3,1,Dijon,1.2,1.1,54,,Benoît Costil,4/2/2004,Thomas Léonard,Match Report,,10,6,13.3,0,0,0,2021,Bordeaux
30,3/21/2021,15:00,Ligue 1,Matchweek 30,Sun,Away,L,1,3,Montpellier,1.5,2.5,56,,Laurent Koscielny,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,13,3,19.7,0,0,0,2021,Bordeaux
31,4/4/2021,15:00,Ligue 1,Matchweek 31,Sun,Home,L,2,3,Strasbourg,1.7,2.2,62,,Laurent Koscielny,3-4-1-2,Jérôme Brisard,Match Report,,13,5,18.3,1,1,1,2021,Bordeaux
32,4/11/2021,15:00,Ligue 1,Matchweek 32,Sun,Away,L,1,4,Saint-Étienne,2,3.3,63,,Laurent Koscielny,3/3/2004,Franck Schneider,Match Report,,9,1,16.1,1,1,1,2021,Bordeaux
33,4/18/2021,17:05,Ligue 1,Matchweek 33,Sun,Home,L,0,3,Monaco,0.8,2.1,41,,Laurent Koscielny,3/2/2005,François Letexier,Match Report,,7,2,16.1,0,0,0,2021,Bordeaux
34,4/25/2021,15:00,Ligue 1,Matchweek 34,Sun,Away,L,1,4,Lorient,0.9,1.9,57,,Benoît Costil,4-1-4-1,Jérémie Pignard,Match Report,,13,7,19.7,2,0,0,2021,Bordeaux
